t,y
1,2.0176632532557952
2,0.74582896885102823
3,0.70343481824514098
4,0.29057677605012405
5,0.001087785529073404
6,-1.3212010181677827
7,-2.1570314548194949
8,-2.225499082976051
9,-2.4810974175731162
10,-2.6513273847070558
11,-3.8909202316354508
12,-2.9912973447216382
13,-2.0950589276570324
14,-0.87032533113208355
15,-0.28991387218206399
16,0.11889529203325105
17,-0.71732412061212747
18,-0.42973570304598702
19,-0.87061745757898346
20,-0.89969293458158128
21,-0.65235769655102893
22,0.17651967195962526
23,0.29994500716780742
24,0.86386200083927922
25,2.1666901287247482
26,2.3686233450604499
27,2.0127471030227504
28,1.5341365923638983
29,1.3989505724495812
30,1.742936128776444
31,0.74194309063616659
32,2.2897302494970475
33,2.1256464517546321
34,2.6850341454777986
35,4.0509906086969991
36,4.7478033273473548
37,5.9071870539415023
38,5.6083901155318117
39,6.942621643744312
40,6.1153163908235637
41,5.1699439719138045
42,5.8212954173483134
43,5.4564019919445883
44,5.4994041530996425
45,5.1949488364515819
46,6.0913773663626509
47,7.9042488663069221
48,7.2422316157907964
49,7.8167690648839283
50,7.1113606752600225
51,5.6342197743002149
52,5.8690291722922554
53,6.7542665140296227
54,6.3345144988090025
55,6.3485709289310863
56,4.5750660203897926
57,4.2165921023237765
58,5.8180180256382776
59,4.9722626488559998
60,5.6851437624068319
61,4.7788153498832342
62,7.8241451648328244
63,8.6432076317361997
64,7.3133790683558235
65,7.6738679179995115
66,7.1257959115933884
67,7.311694716284995
68,7.5093170229321764
69,8.2215717523319807
70,8.5771626751230094
71,9.9055347086996779
72,10.330512930321365
73,10.400491194483269
74,11.190105652095864
75,9.3036234521942269
76,7.5226980465185953
77,8.6863371135271095
78,9.2811080930686405
79,8.928429840504176
80,7.4850653608983446
81,7.7650107485726858
82,7.1135028804615752
83,7.7741260331044062
84,9.2295414460559382
85,9.5613844462603108
86,9.619042272680284
87,8.9170359486857276
88,9.9972364982409001
89,10.0945263065546
90,9.3122691974012906
91,8.8974592561479451
92,7.531451291025312
93,7.7537714025038875
94,7.3122293231559441
95,8.7732817504790575
96,9.9581198398984672
97,9.5156267912891259
98,8.3767652464687892
99,8.5973192156806455
100,8.9134537103886071
101,9.9170668207255552
102,9.5124569929284473
103,10.101145636373392
104,9.1221856738553946
105,8.5561844801578246
106,7.9752938510786482
107,9.6358587314790096
108,10.90400941000464
109,10.745154023076523
110,10.896698702293946
111,12.19628399339887
112,11.167269810499382
113,10.309280614481787
114,10.294594345688036
115,9.9258196054614203
116,10.735818390387413
117,11.307498600707024
118,10.859926485187925
119,10.456963177135657
120,9.6196567811419591
121,10.160420494281965
122,9.9429937984919139
123,11.315893714939422
124,11.986687998187348
125,10.821708557103914
126,10.837067245806209
127,11.526995154470177
128,11.668580814049308
129,11.86245985392577
130,11.717175455821463
131,11.025743072600058
132,8.4312810609375628
133,8.0462764112352581
134,7.6525082288100474
135,7.0595791717926399
136,6.0581757405689336
137,5.6651270733053014
138,5.3960174333262998
139,5.4724092418671741
140,5.3722073904660643
141,4.6686935341003037
142,4.6112790796941479
143,3.9987125605040572
144,4.6997328733111505
145,5.2023341722046759
146,6.0734158476490272
147,4.7678086617950015
148,3.7162291977338775
149,4.5701619340622921
150,4.7824760310666852
151,3.2792077829514721
152,3.0581381992353505
153,3.2565975991278995
154,3.3518400780477102
155,1.8614978722407749
156,1.1445565676707696
157,0.71794028274425492
158,1.7297982201145525
159,2.1200742748221506
160,3.0829418613855357
161,2.3212379041852009
162,0.40710759688119613
163,0.12776213764228672
164,-0.24090574389474145
165,0.3507460815670374
166,1.7705601649649261
167,2.1572328347775098
168,1.6296226282897837
169,2.2041519572898745
170,1.153582460806631
171,-0.2327882269651762
172,-0.99027462441803726
173,-1.918279938333463
174,-1.8042829009783539
175,-0.36848861266835287
176,-0.2279852209082518
177,-2.5944131047395791
178,-2.4058698629892072
179,-2.6058066343578075
180,-3.1094790275252744
181,-3.3967507599783144
182,-3.0834741385847915
183,-2.6776883899500032
184,-3.484748283631224
185,-3.2454514085878094
186,-3.7179051534882728
187,-4.6287771064235539
188,-4.7653750806097985
189,-5.325902945617913
190,-7.5774515482367466
191,-7.9902157249597412
192,-8.6797575953826165
193,-8.626421699522334
194,-8.2397078600910376
195,-8.84729949156225
196,-9.2351882536131811
197,-9.1281077660888617
198,-9.5231900701114078
199,-8.8757157338903561
200,-7.9396255394102075
201,-7.9925795790494432
202,-7.9485099429532067
203,-6.5577028811819158
204,-6.7438540453464428
205,-6.2605765479349111
206,-6.9688725678819532
207,-7.7082022964526171
208,-6.6888586902596403
209,-8.0906498919206022
210,-8.7135491213368752
211,-8.9045466878126529
212,-9.4879530941654995
213,-8.3576015037596125
214,-8.266839854074048
215,-9.4239906170817562
